,제품번호,물품명,물품대대분류,물품대분류,물품중분류,상품중량
0,100021V2_0,2단무늬컵,비식품,식기/편백,자기,1p
1,100022V2_1,7곡딸기롤과자,가공식품,과자,스낵,100g/10개입
2,100023V2_2,7곡참식,가공식품,식사대용,선식/생식,700g
3,100024V2_3,가리비,신선식품,생물수산,패류/갑각류,1.5kg
4,100025V2_3,가리비,신선식품,생물수산,패류/갑각류,1kg
5,100026V2_4,가마솥3인용,비식품,식기/편백,옹기,
6,100027V2_5,가마솥5인용,비식품,식기/편백,옹기,
7,100028V2_6,가브리살,신선식품,중량(정육),돼지(중량),무항생제-성남용인
8,100029V2_7,가브리살-성남용인,신선식품,중량(정육),돼지(중량),
9,1000210V2_8,가시복분자원액,가공식품,음료,발효음료,병:700ml
10,1000211V2_9,가시복분자즙,가공식품,음료,과즙,100ml*10봉
11,1000212V2_9,가시복분자즙,가공식품,음료,과즙,100ml*20봉
12,1000213V2_9,가시복분자즙,가공식품,음료,과즙,100ml/1봉
13,1000214V2_10,가시오이,신선식품,열매채소,가시오이,2개
14,1000215V2_11,가자미,신선식품,냉동수산,냉동생선,2~4마리/300g
15,1000216V2_12,가지,신선식품,열매채소,가지,2개
16,1000217V2_12,가지,신선식품,열매채소,가지,4개
17,1000218V2_12,가지,신선식품,열매채소,가지,토종:2개
18,1000219V2_13,가지말림,가공식품,말린나물/건재,가지말림,100g
19,1000220V2_14,각굴,신선식품,생물수산,패류/갑각류,까지않은굴/2.5kg
20,1000221V2_15,간고등어살,신선식품,냉동수산,냉동생선,3쪽/240g
21,1000222V2_15,간고등어살,신선식품,냉동수산,냉동생선,대/2쪽/300g
22,1000223V2_15,간고등어살,신선식품,냉동수산,냉동생선,특/2쪽/400g
23,1000224V2_16,간삼치살,신선식품,냉동수산,냉동생선,2쪽/400g
24,1000225V2_17,간임연수어,신선식품,냉동수산,냉동생선,2~3마리/350g
25,1000226V2_18,간장꽃게장,가공식품,수산가공,게장/게살,2마리/400g
26,1000227V2_18,간장꽃게장,가공식품,수산가공,게장/게살,2마리/500g
27,1000228V2_19,간장샐러드소스,가공식품,소스/기타양념,소스,220ml
28,1000229V2_20,간장소스순살닭강정,가공식품,육가공,돈가스/분쇄가공,"강정400g,소스110g"
29,1000230V2_21,간편한상 매콤주꾸미,가공식품,수산가공,수산가공반찬,300g
30,1000231V2_22,갈매기살,신선식품,중량(정육),돼지(중량),무항생제-성남용인
31,1000232V2_23,갈매기살-성남용인,신선식품,중량(정육),돼지(중량),
32,1000233V2_24,갈색만가닥버섯,신선식품,버섯,만가닥버섯,150g
33,1000234V2_24,갈색만가닥버섯,신선식품,버섯,만가닥버섯,300g
34,1000235V2_25,갈색양송이버섯,신선식품,버섯,양송이버섯,140g
35,1000236V2_25,갈색양송이버섯,신선식품,버섯,양송이버섯,300g
36,1000237V2_26,갈치,신선식품,냉동수산,냉동생선,200g
37,1000238V2_26,갈치,신선식품,냉동수산,냉동생선,300g
38,1000239V2_27,갈치선물,신선식품,냉동수산,냉동생선,1마리/소분용
39,1000240V2_28,갈치선물모음,신선식품,냉동수산,냉동생선,3마리
40,1000241V2_29,감귤/비가림,신선식품,과일,귤(비가림),유:3kg
41,1000242V2_30,감귤/비가림/유,신선식품,과일,귤(비가림),1.5kg
42,1000243V2_31,감귤/세미놀,신선식품,과일,귤만감,유:2kg
43,1000244V2_32,감귤/진홍,신선식품,과일,귤만감,무:1.5kg
44,1000245V2_33,감귤/진홍/소과/,신선식품,과일,귤만감,무:1.5kg
45,1000246V2_34,감귤/청로,신선식품,과일,귤만감,유:2kg
46,1000247V2_35,감귤꽁꽁,가공식품,음료,빙과,120ml
